,away_team.statistics.fumbles.team.lost,away_team.statistics.kickoffs.team.ret,away_team.statistics.fourth_down_efficiency.team.att,away_team.statistics.passing.team.rating,home_team.statistics.kickoffs.team.kicks,home_team.statistics.fourth_down_efficiency.team.att,home_team.statistics.passing.team.rating
267,1,0,1,108.3,7,0,75.5
268,0,1,1,92.1,6,0,76.0
269,1,5,0,105.5,6,1,53.3
270,2,1,1,20.1,6,2,63.9
271,1,1,0,73.1,5,1,81.7
272,0,3,2,87.0,4,1,49.4
281,1,3,3,75.7,6,0,64.4
280,0,0,0,43.4,6,0,98.3
279,0,4,0,112.5,5,2,96.6
278,0,2,1,72.8,7,0,87.3
277,0,4,1,95.8,5,0,74.3
274,1,0,6,78.6,6,0,137.2
275,2,4,2,64.5,6,0,105.5
273,0,1,4,54.5,5,2,92.9
276,1,0,1,35.3,7,2,104.4
282,1,2,0,84.4,5,0,94.5
283,0,3,0,82.1,2,1,49.9
284,0,3,2,71.8,5,1,89.9
285,1,2,1,45.4,8,0,135.2
286,0,2,1,90.8,6,1,92.1
287,0,1,1,122.5,8,0,135.8
288,2,3,1,115.7,3,0,59.2
294,0,4,0,91.3,2,1,30.6
296,1,5,0,90.6,7,0,123.4
293,1,3,2,65.6,9,0,83.3
292,1,2,1,49.7,5,0,81.6
295,1,2,3,58.2,4,0,103.9
290,2,1,2,64.8,6,0,84.2
289,0,0,1,46.4,6,0,48.9
291,1,3,0,62.2,3,1,55.7
297,2,0,1,79.2,7,0,129.8
298,1,1,0,108.6,6,0,120.3
299,1,2,1,91.7,3,2,83.7
300,0,1,0,98.5,9,0,140.7
301,0,1,1,119.8,6,2,91.7
302,1,2,0,57.9,7,0,144.5
303,0,3,2,53.0,8,0,91.7
311,1,4,3,78.7,8,0,104.0
310,1,2,1,60.3,4,3,57.7
309,0,1,1,89.8,7,0,106.8
308,1,2,0,73.6,6,1,86.1
306,0,2,1,120.0,4,1,128.1
305,1,1,0,52.2,4,1,81.1
304,1,2,2,73.7,7,0,105.3
307,0,3,0,98.5,4,0,56.1
312,1,1,1,47.8,5,0,57.0
313,1,5,0,129.6,8,0,140.0
314,1,1,3,36.3,7,1,89.0
315,2,4,1,86.4,6,0,135.7
316,0,1,0,147.7,5,2,109.3
317,0,3,0,58.5,6,1,106.5
324,0,4,0,134.6,4,3,70.5
325,0,0,2,143.4,3,2,74.1
323,0,3,0,114.9,3,0,48.8
321,0,0,1,45.7,5,0,56.9
322,1,2,0,133.3,5,2,84.7
319,0,5,1,105.9,6,2,100.5
318,0,1,0,95.9,4,1,76.9
320,1,4,0,84.8,4,2,112.6
326,0,0,3,65.9,6,1,92.9
327,0,3,2,46.8,5,1,98.5
328,2,5,1,79.1,7,1,92.9
329,1,2,0,75.7,7,3,74.7
330,1,2,1,58.3,6,0,72.9
331,0,1,0,66.3,6,0,97.7
332,2,3,1,122.1,6,2,70.4
340,0,3,0,84.2,8,0,105.2
339,0,1,1,53.5,7,0,71.9
338,2,2,2,89.6,8,0,136.3
336,0,2,0,125.2,3,3,80.6
337,0,1,0,135.9,5,0,96.6
334,0,1,0,69.2,2,1,31.8
333,1,1,3,90.7,6,0,148.4
335,0,2,0,70.1,4,1,71.2
341,0,4,0,93.2,4,0,92.1
342,0,3,1,97.1,5,0,107.2
343,0,3,5,48.6,6,0,117.8
344,1,4,0,110.6,4,1,75.6
345,2,4,1,96.1,8,0,99.5
346,2,2,3,40.6,6,0,81.1
347,0,3,1,111.6,4,2,80.1
351,1,2,2,105.4,6,0,102.2
353,1,7,2,119.0,3,5,84.3
348,1,2,1,81.8,2,2,55.4
349,1,2,2,60.8,6,1,69.5
350,2,2,1,72.0,6,1,146.1
352,0,1,0,102.9,6,2,91.3
355,0,4,1,51.2,8,1,125.7
354,0,3,0,70.1,4,0,25.7
356,0,0,2,47.2,7,0,116.0
357,1,1,0,33.0,8,2,94.3
358,0,6,2,130.6,6,0,86.4
359,0,3,0,117.6,4,1,36.8
360,1,3,1,55.4,5,0,92.6
361,0,1,0,48.5,4,1,84.2
362,0,1,0,74.5,4,2,52.2
363,1,0,0,70.4,7,1,68.4
364,0,5,1,81.9,5,0,86.8
365,1,2,3,82.7,6,0,90.1
366,0,5,3,79.0,7,0,68.8
367,0,3,0,133.7,6,0,91.3
368,0,3,0,158.3,5,1,58.3
370,1,2,1,82.4,5,2,112.4
369,1,5,3,95.8,10,1,151.8
371,0,4,0,92.8,5,1,123.4
372,0,3,1,90.7,5,0,57.8
373,0,6,2,114.8,7,0,110.0
374,0,2,5,52.2,5,0,60.0
375,0,1,1,63.5,6,0,77.6
376,0,4,0,49.2,7,0,88.2
377,1,4,0,149.3,4,2,74.5
378,0,4,1,87.7,5,2,79.6
379,0,3,0,134.6,3,1,84.5
380,1,1,0,40.9,5,0,70.3
381,1,4,1,140.6,2,2,59.9
382,1,1,0,52.7,4,0,42.0
384,1,2,1,87.5,6,0,93.4
383,1,0,0,135.2,5,1,99.5
385,0,1,0,72.9,8,1,139.0
386,0,3,1,84.3,5,0,69.3
387,0,3,0,82.2,6,0,111.6
388,0,3,2,53.4,5,0,92.9
389,1,1,2,31.9,8,1,121.9
390,2,1,4,74.7,8,1,119.4
391,1,2,1,81.1,5,2,104.3
392,1,0,4,44.3,8,0,67.3
393,1,5,2,72.6,8,2,131.8
394,0,3,0,105.9,6,1,70.5
395,0,4,0,119.0,3,3,69.0
396,0,2,0,90.1,5,0,84.0
399,1,5,1,52.9,8,0,136.2
398,0,1,0,72.9,5,1,87.8
397,0,2,1,65.7,6,2,92.4
400,1,1,1,77.1,6,0,94.1
401,1,3,1,91.3,5,0,125.4
402,0,0,1,115.5,4,0,97.4
409,0,2,0,138.4,4,1,61.6
407,0,3,2,60.6,5,0,86.4
403,2,1,1,102.4,8,0,86.7
404,1,2,0,26.4,6,0,93.6
405,0,3,1,90.3,3,1,54.7
406,0,5,1,102.2,3,2,70.4
408,0,8,1,127.3,7,0,106.7
411,0,5,0,109.2,6,0,82.8
410,0,1,2,60.1,8,0,111.1
412,0,4,0,84.8,5,2,92.9
413,3,3,0,70.4,7,1,107.4
414,1,6,2,134.5,2,2,56.3
415,2,3,0,51.9,7,0,98.5
416,1,3,0,73.6,6,0,101.7
417,0,3,2,94.6,7,0,98.6
424,1,2,0,114.9,6,3,75.6
418,1,3,2,85.6,5,1,112.0
419,0,5,2,94.2,2,2,27.1
420,0,2,0,104.8,6,1,67.6
421,1,2,1,47.2,6,1,59.4
422,0,1,0,83.7,6,1,94.8
423,1,2,1,73.5,6,2,85.8
425,0,1,2,65.5,6,0,111.5
426,1,2,0,86.4,6,0,86.7
427,1,2,0,83.6,3,0,80.0
