"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Antigua and Barbuda","ATG","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","3366.22588844737","3824.78273905474","4753.9376129907","5736.09911904954","6459.10490291262","7183.62312436265","7959.42594720572","9105.73082899039","10528.1875667627","12698.5843831978","14750.751446117","17424.3879004711","19106.3399722616","19840.1749456244","20524.9909258762","20909.5422748212","21967.6558675525","23681.0294030117","22697.8010776176","24383.6333062574","25628.5032913087","26838.5174259806","27703.5795591504","29486.2752578405","28000.8120499404","28091.9777763586","29132.867591425","30905.9238697471","33878.5552077579","37772.2322983169","42139.1426463238","43265.7329882783","38105.3086021257","35232.9940473486","34414.7535657065","35835.5915893329","34856.3092792517","36454.2684903092","38572.4515315392","41033.5671289684","41535.2210089493","45162.8481814594","",
"Australia","AUS","GDP per capita (current LCU)","NY.GDP.PCAP.CN","1614.17186064835","1673.94829724316","1653.509588531","1753.7899543379","1900.15223426166","2033.63189322093","2089.77770148485","2300.36443766421","2428.76176201182","2667.0472152002","2946.42999920045","3116.17840303007","3375.88221901799","3718.01195814649","4392.04255629236","5121.85992946088","5931.30478158626","6769.5885005637","7307.35478478897","8170.52501033485","9149.40103457664","10192.4030280699","11570.2991171432","12307.6973127725","13727.354606279","14911.2831577611","16246.3167357539","17567.0042240791","19591.4639309953","21858.109715482","23665.5513299072","23980.4443415876","24146.3275221492","25097.07364012","26085.5222626715","27366.4785303232","28813.2270220086","29988.1730301885","31430.5488749933","32766.6173517912","34519.8663394768","36319.2705918714","38381.6420204158","40258.5522281532","42779.4449357592","45225.7928491576","48141.5989061692","52170.821410052","55405.0505430793","58093.4182198721","59060.7191893517","63411.8387697345","65958.1810339955","66425.9093331761","68093.0048220955","68214.7019261635","68650.34039443","71686.7342550523","74017.7931911937","",
"Austria","AUT","GDP per capita (current LCU)","NY.GDP.PCAP.CN","1767.54658668792","1949.6079541662","2055.45595371805","2205.04015838767","2398.54708289999","2597.16982393762","2809.61781879595","2965.8762591504","3169.95356826864","3449.05559117625","3890.04417519766","4323.38065740308","4912.10969856185","5536.10898332018","6290.42059007996","6690.01015054553","7402.9126597295","8180.24496493989","8659.23135869288","9514.64299598976","10219.5475474781","10862.4872138053","11666.0074543116","12450.1316598584","13073.9077270264","13791.1647015824","14515.669158236","15061.6766777749","15773.2947746284","16796.391763469","17915.0017778415","19015.6586082254","19869.2990264018","20356.1154559034","21289.3262171757","22219.7499886139","22935.1036692094","23685.0889697982","24614.7428495351","25505.7953106005","26662.2630332197","27420.6721888894","28054.4947220085","28549.4869556727","29656.0533903347","30879.9599505532","32390.3831355116","34232.8268370501","35301.5743803758","34523.8965337912","35379.9290336805","36956.8462338067","37799.9264767898","38197.754835213","38981.0663164511","39833.5323259551","40896.5649146791","42090.7066795521","43597.8667208016","",
"Azerbaijan","AZE","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0409554407040089","0.0734974556457159","0.65295312923327","4.18945963975984","49.3221008292747","277.657774886142","352.003091588304","402.934328453418","434.803487931252","472.90720616329","586.201326938846","655.340763388895","741.866996249365","867.91513340863","1026.93071690845","1492.22161978586","2209.45129676883","3304.91883514153","4580.09448387612","3979.04695334641","4690.02020248429","5677.69916370528","5889.08907521947","6178.53132926989","6189.15690158414","5635.62838125422","6192.49479289005","7137.97081864857","8026.00274744341","",
"Burundi","BDI","GDP per capita (current LCU)","NY.GDP.PCAP.CN","3502.58673191486","3558.35941044117","3671.76527806871","3925.71647067039","4308.08032277145","4335.34483009354","4565.98191446748","4795.55935077207","4803.82100057928","4875.06385651149","6104.81409708445","6267.34243683493","6049.69764678264","6755.6862090257","7456.46907894322","8958.05862389486","10256.4102564103","12784.7718672857","13906.4575543911","17383.5182070451","19910.8651821447","20441.5308026213","20820.9467080574","22380.7140492354","25572.0333435546","29214.0100786451","28076.1644309922","27809.8592081618","29400.8278293682","33303.3167648659","35646.172602578","38077.4155846816","39679.4330730543","39306.2978555043","39620.6664658405","41734.2910014176","43415.0463580618","55993.5839323895","64699.0524062324","72664.9097736059","98345.4898366812","111568.688638267","114591.633732904","122950.30217882","141287.06043572","164055.212439826","172177.444636454","186618.044230289","235185.209341453","260966.377808696","288285.124190805","314736.126047424","364029.241655949","399621.017770007","425119.132427638","480293.168425684","466924.288124388","506609.018323041","484501.284878239","",
"Belgium","BEL","GDP per capita (current LCU)","NY.GDP.PCAP.CN","1578.69957040425","1673.52629784054","1783.00296922818","1902.61220934426","2109.38335419929","2275.16027687787","2426.41414042077","2586.31776524996","2754.5451341109","3046.71282533585","3428.32190070187","3749.14868581752","4180.69354548885","4735.30967837302","5536.55551404417","6109.64569877662","6931.59632589469","7487.34236331983","8033.22215259381","8583.95561829344","9325.11543990907","9777.22738513976","10582.8571321316","11212.6019225774","12114.1917930647","12880.3298192753","13477.1030569095","14008.2312739495","14940.4820139322","16141.6803510914","17065.3508610438","17811.7657318927","18627.9774494338","19110.7035219979","20078.575384977","20764.8243614289","21098.233598385","22011.2078630855","22799.5312754827","23694.276559566","25009.2817949031","25697.0885338845","26445.5226737032","27100.6742107103","28482.4678919392","29587.6450107872","30826.0139071468","32338.4718183273","32842.5757936084","32091.2355521372","33329.1022621454","34060.4102239265","34768.8002411467","35206.1717974799","35953.3634274498","36960.6311616367","37980.4141086617","39240.3252772401","40257.140825987","",
"Benin","BEN","GDP per capita (current LCU)","NY.GDP.PCAP.CN","22808.6633942282","23440.0362225538","23145.1241282099","24467.1205914288","25566.0812114626","26989.2415767472","27747.123977363","27540.1948300502","28939.0919511819","30161.953139991","31663.7983889244","30996.9057358599","33978.2118152812","36105.2361277269","41886.0235513953","44427.1584131277","49858.4922858783","53669.8030458674","59478.6207646105","69734.7518575243","79872.9636160891","91839.3218237713","106066.785539884","103318.135055665","110493.14680288","109804.818580152","105051.513086825","103535.781585324","103274.704698544","99427.9658615241","107186.89843278","108823.756777116","111485.058412698","116642.045810369","155272.157634813","183380.803456676","198192.242436693","210763.177810759","223852.699711681","248510.751192434","266416.116281634","277628.108902795","291827.96707073","301812.831632772","308206.292538688","317430.290426541","327240.319551286","338387.941608978","367267.910102897","374657.283390358","375269.355933994","389733.247505769","427792.569374324","452202.529479475","466566.901678863","463674.570383829","467616.139598845","481642.42434411","500759.387858022","",
"Burkina Faso","BFA","GDP per capita (current LCU)","NY.GDP.PCAP.CN","16777.4130679305","17550.3664052891","18748.6057771203","19202.4350906685","19718.0086646309","20027.6303559316","20279.6799992695","20753.4145021756","20976.9034683397","22491.8373408652","22526.8246453081","23209.1893061112","25033.0859529837","25360.4520407528","29933.7906812222","32731.627764522","37192.390322212","43432.0670549084","50985.0443566113","55749.2280926954","59725.7008112307","69082.4859559409","80539.6388086203","83070.3877246743","84701.0832077896","90254.4108514764","88918.3059010977","87495.7814628935","93244.9207514565","97250.7467694846","95831.5447426488","97724.8409296532","95566.1165568279","94843.3680545232","107193.483316199","117715.263950664","127560.857073031","133948.087383431","150861.40650453","164510.871643235","161477.374714657","172624.139788174","181749.111290073","193158.609807437","196164.342478061","214678.887462533","219918.453565129","227704.407676638","255142.08060396","260998.839053812","285005.392747823","314659.246652963","344004.186528883","345719.017558657","347979.192787088","340269.446265352","345602.477408749","373954.939957122","397406.526966132","",
"Bangladesh","BGD","GDP per capita (current LCU)","NY.GDP.PCAP.CN","427.369175138728","468.45733338333","480.586174889079","489.12680886005","481.061363950492","511.903931872522","540.793743913982","589.779050123937","589.668472216974","648.707456066563","672.013054080644","641.046855951232","566.290070776737","930.294363203387","1449.97123529578","2463.71700855166","2096.77795633895","2032.34407539932","2661.6333204471","3055.71428746478","3525.60013222586","4046.59478767332","4423.2049546415","4856.96403383719","5349.91644830721","6381.80150864135","7009.74141378011","7873.20835641979","8445.82775508001","9175.1173341942","10076.2408226515","10465.8268339662","11070.4164417253","11361.0074700156","12011.2748937727","13242.8482026515","16143.9447325817","17143.9940977641","18497.2850517002","19690.8369047215","21033.0497957454","22395.2576604231","23723.1990202515","25841.387167122","27980.4353178569","30716.9093247081","34227.4319953652","38539.0614700188","43566.4619442348","48317.4768439116","54042.7834091352","61352.2892145196","69877.4493778325","78481.7016120926","86957.866153484","97007.4507599298","109695.175388065","123743.211750958","139472.889514845","",
"Bulgaria","BGR","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","2.91044384522546","3.12874074202375","3.25350601634524","3.33506418197043","3.53443081712893","3.63764622851708","3.84272637796264","4.0719917684712","4.26936820641131","4.45863747232728","5.2063656068295","15.7199062551442","23.5124290353206","35.2796219875257","62.2483964464882","150.831536317757","259.206636608247","2268.59308658206","3185.76744026065","3028.72229930393","3418.26340987681","3839.48742574423","4313.57732730003","4675.90623519757","5298.32081960798","6091.02631528095","7001.57163076228","8411.02148107878","9710.41810670611","9804.07802168678","10110.2425915737","10990.1191128104","11229.3536391469","11268.3832258677","11594.2301830387","12339.8315768298","13205.9975684017","14279.7140792603","15364.7467560793","",
"Bahrain","BHR","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","3217.94558307029","3485.24537581525","3551.7554087317","3542.40340619593","3606.11455583523","3273.74424215837","2647.64233643997","2840.71777464469","2992.48921964411","3019.62015186442","3206.89773375732","3404.93565599498","3415.11720826021","3646.51908767088","3809.06996759361","3901.74136105035","3964.80854240615","4012.7344179409","3788.65895388626","3910.98122508998","5127.28498324584","4838.46920270377","4906.72601088763","5347.48583551216","5958.30059625665","6752.68004552591","7259.66123340755","7887.18036834926","8673.00772176871","7277.82015668193","7791.52362071467","8465.36129142801","8894.04381576731","9303.87846960029","9396.00696068709","8531.05038375159","8504.78786862871","8917.02151299066","9043.08482202876","",
"Bahamas, The","BHS","GDP per capita (current LCU)","NY.GDP.PCAP.CN","1581.24417988935","1684.31476446521","1787.91157063696","1904.36551252955","2034.26844864594","2187.64949057183","2369.14374718203","2607.78403878915","2860.42055367858","3279.39708281589","3185.20224115435","3297.50588018794","3322.16387617645","3696.07254416942","3416.1624891962","3156.23411824496","3328.51240740453","3617.43471621149","4131.46844816804","5533.43997592046","6340.72681168711","6624.838616795","7168.09577444319","7698.45924188303","8877.31979836728","9893.08417669176","10344.4524866432","11156.2820886994","11387.709081798","12163.6813608069","12356.4238963715","11919.7878992215","11686.6958113589","11406.6898096057","11814.5631983063","12238.3862033521","12708.730958032","22036.4841069328","23514.4203140432","26130.1018152634","27097.6108115725","27486.2367737544","28866.8010141065","28327.2708691945","28395.9246646221","30278.3669222647","30713.7052801382","31472.09897181","30627.2386311725","28552.1904783698","28443.4076553352","28006.3797183913","29485.6209294138","28768.0298936727","29445.030528852","31405.9635601781","31588.8349989813","31827.2426989661","32217.871590084","",
"Bosnia and Herzegovina","BIH","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","516.801116924475","698.602969404944","1113.70023310333","1704.27668646465","1939.87741331326","2298.2079707129","3116.08946101169","3345.74886193946","3676.39724242277","3855.48458297904","4433.62483442671","4687.59293671659","5326.68166984648","5992.33094839834","6797.4128665725","6637.82964278315","6845.26910471864","7164.71132901323","7274.0398538463","7559.05724742104","7856.94798317339","8336.55366116311","8831.09926063125","9361.77360349476","10050.8196775563","",
"Belarus","BLR","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.24968102856021E-05","8.82872277810477E-05","0.000900548159749413","0.00962008008594589","0.17398063948372","1.1909260349225","1.88817913385827","3.62587723633488","6.97349289899692","30.1799448634242","91.5246186975243","172.967872747569","264.945241764573","373.234018754589","513.782629777601","673.299589245146","825.274619559718","1016.27212266392","1362.20617475783","1494.63355831347","1841.43903488332","3243.31702200699","5786.01076972411","7085.23888186316","8504.84737418111","9474.54670452419","9993.01796951945","11133.4239604206","12816.3787957601","",
"Belize","BLZ","GDP per capita (current LCU)","NY.GDP.PCAP.CN","435.60457942301","452.01419173627","467.333442865358","481.354578491274","501.668784988697","539.95985638764","580.720092915215","609.626237887339","646.211905808153","662.41269149177","727.603083923982","778.088514580145","831.301612268974","987.671508345322","1344.17814739504","1603.63199759868","1598.99960783443","1717.65616217361","1961.64501852985","2148.54392979725","2746.18601407212","2657.65629828479","2405.36405261662","2465.67475652118","2673.97517907264","2578.73457794587","2732.09945904376","3224.90315036599","3575.90276685714","4023.93745760586","4394.37004662362","4653.64310828345","5333.76319960478","5665.95065326735","5760.25089250298","5992.76585669902","6003.66744046727","5905.89719288744","5984.88950852139","6131.95934523909","6728.84742130481","6836.43335176015","7108.46069411307","7351.7606012805","7651.5746607644","7852.02748414376","8357.85074606373","8631.66992726361","8921.26828823133","8486.86656814606","8541.59929367334","8846.98087734524","9011.24136047778","9137.08410262577","9411.22008966295","9551.83015444839","9636.80878767077","9775.11964095798","9769.48484266752","",
"Bermuda","BMU","GDP per capita (current LCU)","NY.GDP.PCAP.CN","1630.63063063063","1681.31868131868","1731.75965665236","1731.65618448637","1885.48057259714","1956.0878243513","2254.90196078431","2592.30769230769","2830.18867924528","3053.7037037037","3387.27272727273","3866.30036630037","4343.17343173432","5009.2936802974","5853.93258426966","6509.43396226415","7261.27819548872","8370.78651685393","8876.86567164179","9613.38289962825","11218.2178159868","13425.9769663942","14166.1712925391","15902.0203826211","17469.8255675877","18269.5355197019","20450.6645289464","22411.7956749468","24253.1755188784","25517.9217212488","26841.5197383946","27700.3095169516","28669.6822595785","30900.6948905109","31476.0631153068","33989.7223579821","44826.7890701658","48478.8832504091","51371.7408069836","54245.459737293","56284.1686478094","58883.9594265967","62583.1002034588","66111.7252270036","70359.3191088798","75882.0338560339","83912.6977976846","90849.5869806436","93605.7481653976","88463.3128161375","88207.3275597322","85973.158416455","85458.455507886","85748.0654143782","","","","","","",
"Bolivia","BOL","GDP per capita (current LCU)","NY.GDP.PCAP.CN","0.00122478947649069","0.00130652910567117","0.00140073994409662","0.00147865844227355","0.00163299565890478","0.00177772407741567","0.00192843352738145","0.00213345004462211","0.00237160202042249","0.00251614969860427","0.00269446682027938","0.00284084212548071","0.00357082600979414","0.00528048612566479","0.00859024592353729","0.00962086959720831","0.0106908126323958","0.0123523120155647","0.0140697583265216","0.0165146613615689","0.019892704843336","0.0252760353695988","0.0615718537513684","0.211704066032791","3.19567342784413","382.906920669444","1205.83487739197","1378.95872171721","1642.09539000582","1888.66073560711","2249.59816992146","2728.69660539691","3074.18683632829","3344.65618739616","3701.23318002789","4229.02697308883","4825.21643748698","5246.49906808956","5782.8464987419","5832.11700136586","6168.55114071025","6269.09717507737","6483.30491761577","6951.00823360177","7677.34188815375","8342.8578948748","9765.13461947416","10776.7787187845","12415.1967390886","12314.5616478504","13720.8871095348","16276.5409498564","18034.2764603559","20095.6625906722","21295.7827461536","20978.568004909","21259.713339956","23156.2672040572","24520.7578659723","",
"Brazil","BRA","GDP per capita (current LCU)","NY.GDP.PCAP.CN","1.42780652704699E-11","2.00807634441488E-11","3.66958381964748E-11","6.10404788047203E-11","1.18979917873124E-10","1.80476942741899E-10","2.54934555382393E-10","3.36499418293559E-10","4.62599316878024E-10","5.98188949517877E-10","7.42903763213259E-10","9.70108380011596E-10","1.26431791792665E-09","1.72617701415058E-09","2.47800038446626E-09","3.4081974231414E-09","5.39447068573182E-09","8.05555569154698E-09","1.14556877787699E-08","1.86911743533767E-08","3.73084533077363E-08","7.21914883538343E-08","1.45286988667691E-07","3.29390871757586E-07","1.06053171686912E-06","3.71642514539075E-06","9.64144484758377E-06","2.97754429911394E-05","0.000219162058528233","0.00290849615806386","0.0775070117107467","0.397539008935633","4.15507180179254","89.8769338000189","2237.94092549988","4357.4373908992","5192.51117980432","5694.00551608932","5903.64015248674","6312.20299308824","6860.17357080488","7425.42194421553","8292.34610793332","9449.19157961856","10639.5774885777","11661.8400464762","12804.8242437971","14307.3507581319","16194.33019191","17190.6719538216","19854.7587141795","22157.2605892385","24159.8942664163","26520.7255044389","28500.9249804952","29323.2998830269","30399.2628980115","31534.0527981703","32594.6805778963","",
"Barbados","BRB","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","2616.89202147751","3300.53949966281","3528.0249451699","3991.21866174976","4444.45110570217","5364.21179943585","6856.34365317717","7519.20662618734","7832.1171905133","8292.77673987786","9013.02167931522","9405.18139567554","10291.8240265726","11292.9667970188","11967.0858802133","13183.7188458091","15595.7782751326","15413.6041694508","14842.174935143","15596.4589159978","16334.5199759903","17106.2773777519","18165.2056364188","19118.7492309471","21465.3815308759","22400.3608786804","22993.2047953152","22874.495412844","23184.4198591936","23875.3467551735","25532.5409395388","28208.2924693203","30398.5613221997","33541.4958736993","34184.6291784844","31772.2785872844","32112.2336786812","32918.1160265313","32499.7955586888","32904.0739229535","32977.0515228649","33123.7470384545","33873.8120897423","34863.2058497797","35898.5630108742","",
"Brunei Darussalam","BRN","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","3409.64585001856","3788.42962880101","3784.86055776892","4175.64335272863","3992.71844660194","4232.25686911811","4443.83840319597","5376.63178944107","7169.79099332041","16870.8728848535","17140.8065534011","20906.6422485299","24192.6806094532","24365.7735713694","32499.8400886975","54433.9510725762","46117.6576459472","44284.5704025429","38306.5504819027","36981.7806806463","34539.2494508775","22240.2182621311","24418.3648127023","22155.1202107985","23155.191721878","24663.6337985707","24022.3883400323","24882.0703050838","23551.4642450148","21568.1939099131","22583.9240156977","23678.5261734215","24737.3043807179","21244.3285789487","23901.7810612795","31053.6469917308","29513.1486851315","30171.8806051064","32336.2922560028","37018.9092264761","43449.6264180503","49223.930017312","49227.2612110464","53760.5983854346","40664.3813850265","48090.0356622736","59191.5425413017","59658.2863186704","55978.7943751685","52867.8352925673","42848.156333829","37513.1014768938","39455.2774852582","42663.4527067666","",
"Bhutan","BTN","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","2620.54660522273","3032.09339146782","3284.69834519996","3802.48827934937","4259.03104483959","4588.59899281877","5304.76360582588","6638.00312353332","7754.58884484044","8576.88015029329","9889.29096238913","10635.4322225381","12161.637443968","13466.9702739037","15971.2220599101","18383.1951666604","20704.5535722531","24085.4707826046","27558.116117418","31223.871350676","32275.3610439627","36073.7635636489","41100.2546795301","44814.473809369","48420.8749399969","54174.2843839916","60302.0446212975","72656.8634343799","79533.9979808108","88059.5704816054","103257.230661679","119628.510381636","135674.159795725","144895.618548415","161863.330208523","176588.639002481","196920.059160561","214027.003229887","221802.955028668","",
"Botswana","BWA","GDP per capita (current LCU)","NY.GDP.PCAP.CN","43.149310286527","45.8669553429494","48.5402212387691","50.8631005161616","54.4828819817731","58.5720561291728","64.5145498667748","71.9912274093807","79.5715532534714","90.8719123180108","109.842842691349","140.481815495392","190.528442853459","245.611034450771","290.956357245996","354.283710233289","420.141328529739","474.998407303171","587.350609693838","772.41857642401","918.342117104073","965.705367967601","1085.34337271193","1290.84557236505","1561.94404128601","1982.9709176108","2355.5663971959","2856.94246977676","4029.6083468673","4992.87254797972","5480.72050956048","6009.6643198258","6415.51416372216","7204.79805018905","7973.59104471992","8926.24018666271","10709.4960557708","11897.8853238554","12846.6123120348","15749.8397778253","17970.1144137467","19147.5017884035","20189.5764623892","21437.7441625279","23809.6048375358","28210.0453676828","32194.9144510509","35805.9871210194","39005.7319776847","37605.5489178899","43715.5636466115","52088.7924592711","53869.9059744032","60681.7599789773","69839.7882040434","68875.9362404018","78966.6902938225","81674.2022685304","84231.5380772858","",
